"","YR","MO","DY","HR","LAT","LON","IT","AT","SI","SST"
"465",2009,2,25,1500,-930,51,0,269,1,295
"466",2009,2,25,1800,-920,51,0,274,1,301
"467",2009,2,25,2100,-920,51,0,277,1,299
"468",2009,2,26,0,-920,52,0,277,1,297
"469",2009,2,26,300,-920,52,0,298,1,298
"470",2009,2,26,600,-920,52,0,283,1,299
"471",2009,2,26,900,-930,52,0,287,1,302
"472",2009,2,26,1200,-900,52,0,276,1,302
"473",2009,2,26,1500,-900,52,0,291,1,305
"474",2009,2,26,1800,-900,52,0,278,1,302
"475",2009,2,26,2100,-900,52,0,290,1,301
"476",2009,2,27,0,-910,52,0,284,1,300
"477",2009,2,27,300,-900,52,0,284,1,299
"478",2009,2,27,600,-920,52,0,286,1,299
"479",2009,2,27,900,-930,52,0,287,1,302
"480",2009,2,27,1200,-950,52,0,370,1,300
"481",2009,2,27,1500,-950,52,0,287,1,300
"482",2009,2,27,1800,-950,52,0,287,1,300
"483",2009,2,27,2100,-930,52,0,285,1,299
"484",2009,2,28,300,-920,52,0,283,1,299
"485",2009,2,28,600,-940,52,0,285,1,300
"486",2009,2,28,900,-960,52,0,285,1,301
"487",2009,2,28,1200,-960,52,0,310,1,304
"488",2009,2,28,1500,-960,52,0,289,1,303
"489",2009,2,28,1800,-960,52,0,288,1,301
"490",2009,2,28,2100,-960,52,0,285,1,299
"491",2009,3,6,1700,-540,69,0,289,3,297
"492",2009,3,7,600,-910,68,0,293,3,293
"493",2009,3,7,1800,-1180,68,0,302,3,304
"494",2009,3,8,1800,-1850,66,0,288,3,293
"495",2009,3,1,0,-950,52,0,288,1,298
"496",2009,3,1,300,-930,52,0,282,1,299
"497",2009,3,1,600,-920,52,0,286,1,299
"498",2009,3,1,900,-910,52,0,298,1,301
"499",2009,3,1,1500,-900,52,0,291,1,299
"500",2009,3,1,1800,-900,52,0,283,1,300
"501",2009,3,1,2100,-900,51,0,287,1,303
"502",2009,3,2,0,-900,51,0,285,1,302
"503",2009,3,2,300,-900,50,0,285,1,302
"504",2009,3,2,600,-900,50,0,280,1,302
"505",2009,3,2,900,-900,50,0,293,1,303
"506",2009,3,2,1200,-890,50,0,355,1,307
"507",2009,3,2,1500,-890,50,0,288,1,308
"508",2009,3,2,1800,-890,50,0,282,1,304
"509",2009,3,2,2100,-890,50,0,274,1,304
"510",2009,3,3,300,-890,50,0,274,1,300
"511",2009,3,3,600,-890,50,0,298,1,299
"512",2009,3,3,900,-900,50,0,279,1,302
"513",2009,3,3,1200,-910,50,0,370,1,308
"514",2009,3,3,1500,-910,50,0,290,1,305
"515",2009,3,3,1800,-920,50,0,288,1,303
"516",2009,3,3,2100,-950,50,0,288,1,305
"517",2009,3,4,0,-970,50,0,285,1,299
"518",2009,3,4,300,-990,50,0,285,1,300
"519",2009,3,4,600,-990,51,0,289,1,299
"520",2009,3,4,900,-990,51,0,283,1,303
"521",2009,3,4,1200,-990,51,0,348,1,304
"522",2009,3,4,1800,-990,51,0,289,1,305
"523",2009,3,4,2100,-980,51,0,291,1,303
"524",2009,3,5,0,-980,51,0,289,1,302
"525",2009,3,5,300,-970,51,0,290,1,301
"526",2009,3,5,600,-980,51,0,291,1,301
"527",2009,3,5,900,-990,50,0,281,1,301
"528",2009,3,5,1200,-980,50,0,360,1,301
"529",2009,3,5,1500,-990,51,0,289,1,300
